iter	Logloss
0	0.5952911694
1	0.5350025968
2	0.4916778358
3	0.4549592482
4	0.4247357087
5	0.4028779451
6	0.3806299596
7	0.3625814911
8	0.3511533077
9	0.3437923658
10	0.336408099
11	0.3278323017
12	0.3230833042
13	0.3159387096
14	0.3095488867
15	0.3063458137
16	0.29928857
17	0.2902077195
18	0.2862851082
19	0.2817366284
20	0.2795801101
21	0.275299087
22	0.2686091085
23	0.2653840368
24	0.2588906573
25	0.253553066
26	0.2490472039
27	0.2462937753
28	0.2429231813
29	0.2384507667
30	0.2338503247
31	0.2285746627
32	0.2250420246
33	0.2204801786
34	0.2152235701
35	0.2126012658
36	0.2105868496
37	0.2063889002
38	0.20339867
39	0.2006555305
40	0.1976738428
41	0.1959135843
42	0.192481277
43	0.1882784139
44	0.1863563351
45	0.1839941087
46	0.1808864511
47	0.1774954216
48	0.1758996204
49	0.1720866117
50	0.1688543826
51	0.166221003
52	0.1638891329
53	0.160529233
54	0.1582778168
55	0.1553292676
56	0.1537861883
57	0.1514703616
58	0.1496106317
59	0.1486520961
60	0.1460080054
61	0.1427131436
62	0.1395406578
63	0.1375253655
64	0.1357220775
65	0.1341583077
66	0.1331982333
67	0.131063902
68	0.1290543211
69	0.1271310272
70	0.1250957979
71	0.1234826186
72	0.1216506245
73	0.1208361828
74	0.1194132084
75	0.1180341323
76	0.1162040888
77	0.11454619
78	0.1129756372
79	0.1108119748
80	0.1087189824
81	0.1073977777
82	0.1064169943
83	0.1053463788
84	0.1036433459
85	0.1023417712
86	0.1010833512
87	0.09982824711
88	0.09895682816
89	0.09764441061
90	0.09671072903
91	0.09588596601
92	0.0945065534
93	0.09367680728
94	0.09224224907
95	0.09114157718
96	0.09019986872
97	0.08932233114
98	0.08845554296
99	0.0875007914
100	0.08675562067
101	0.08584258906
102	0.08503975239
103	0.0841451619
104	0.08321250569
105	0.08136451038
106	0.07976228471
107	0.07884050382
108	0.07756506709
109	0.07660524514
110	0.07585861428
111	0.07542598985
112	0.07484181007
113	0.07400307385
114	0.07341860221
115	0.07239242775
116	0.0714886269
117	0.07093826762
118	0.07011236912
119	0.069377059
120	0.0685334874
121	0.06797841995
122	0.06728096663
123	0.06640563965
124	0.06582145628
125	0.0653239046
126	0.06449625741
127	0.06383196703
128	0.06343768306
129	0.0625271748
130	0.06190367579
131	0.06138537833
132	0.06072216016
133	0.06011417518
134	0.05927406691
135	0.05881434313
136	0.05833756516
137	0.05795623912
138	0.05755964842
139	0.05704717976
140	0.05668802279
141	0.0563574081
142	0.05558091198
143	0.05501036464
144	0.05432920455
145	0.05363879984
146	0.05305553997
147	0.05288819271
148	0.05262005435
149	0.05220509101
150	0.05180728357
151	0.05155669475
152	0.05118197362
153	0.05070244478
154	0.05009014775
155	0.04975662386
156	0.04914105872
157	0.04862219618
158	0.04803513631
159	0.04762811992
160	0.04740622074
161	0.04685677132
162	0.04643039462
163	0.04612009468
164	0.04584112125
165	0.04544548702
166	0.04497453097
167	0.04476102171
168	0.04446185624
169	0.04398838936
170	0.04335368333
171	0.04300340106
172	0.04271499305
173	0.04239720657
174	0.04209429369
175	0.0416226852
176	0.04135517911
177	0.04111506388
178	0.04061705497
179	0.04024681674
180	0.03999430799
181	0.03960852706
182	0.03935874352
183	0.03892436622
184	0.03841647194
185	0.03830693777
186	0.03813564023
187	0.03780168477
188	0.0374585897
189	0.03699990544
190	0.03683609276
191	0.03662787007
192	0.03639074619
193	0.03601970775
194	0.03562277648
195	0.03535185719
196	0.03517209997
197	0.03502733049
198	0.03476259477
199	0.03459066837
200	0.03434182812
201	0.03407229698
202	0.03395234214
203	0.03382684086
204	0.03362345785
205	0.03337396985
206	0.03311549091
207	0.03284289051
208	0.03259430276
209	0.03240019717
210	0.03218026894
211	0.03194309656
212	0.03168922481
213	0.03129019717
214	0.03111956469
215	0.03095176708
216	0.03072954051
217	0.0304385356
218	0.03017458545
219	0.03006422849
220	0.02986595299
221	0.0297363095
222	0.02960145904
223	0.02939705708
224	0.02911297089
225	0.0288052712
226	0.02867427243
227	0.02844902321
228	0.0283398844
229	0.02814708234
230	0.02803424754
231	0.02793303678
232	0.02777984016
233	0.02771384963
234	0.02744749483
235	0.02732666758
236	0.02724079721
237	0.02716206342
238	0.02689017089
239	0.02669109585
240	0.02647070543
241	0.02637833114
242	0.02629816974
243	0.02617792831
244	0.02608421404
245	0.02598567653
246	0.02587094354
247	0.02576803099
248	0.02571576177
249	0.0255653315
250	0.02547870742
251	0.02539069955
252	0.02517502318
253	0.02491890663
254	0.02479884505
255	0.02467809168
256	0.02455969277
257	0.0243494087
258	0.02419642825
259	0.0240693981
260	0.02391432095
261	0.0238691835
262	0.02376115775
263	0.02357659852
264	0.02344553302
265	0.02330710583
266	0.0232489156
267	0.02311046874
268	0.02290286103
269	0.02284201713
270	0.02272852217
271	0.02265666663
272	0.02251863077
273	0.02236558628
274	0.0222075341
275	0.022074595
276	0.02195145164
277	0.02184351084
278	0.02174942571
279	0.02171198549
280	0.02163182499
281	0.0215429285
282	0.02148091989
283	0.02123048828
284	0.02114000043
285	0.02099519485
286	0.0209214162
287	0.02082207267
288	0.02072255331
289	0.02058370439
290	0.02052849433
291	0.02047027884
292	0.02034244882
293	0.02025971522
294	0.02011994113
295	0.01994703311
296	0.01987889234
297	0.01982044034
298	0.01976199827
299	0.01967251865
300	0.01958564744
301	0.01947567455
302	0.01938114935
303	0.01928446028
304	0.01913802522
305	0.01909106794
306	0.0190195911
307	0.01892871081
308	0.01878696856
309	0.01868832139
310	0.01861361858
311	0.01851181452
312	0.01841012413
313	0.01833491844
314	0.01817523399
315	0.01803771308
316	0.01791155277
317	0.01779944171
318	0.01769618367
319	0.01761525827
320	0.01748517842
321	0.01743878192
322	0.01734075019
323	0.0172784599
324	0.01715210006
325	0.01704845035
326	0.01698045444
327	0.01690855308
328	0.01685959288
329	0.01679377191
330	0.01670749122
331	0.01665297529
332	0.01655382971
333	0.01647067964
334	0.0164258574
335	0.01631305132
336	0.01624473875
337	0.01616751416
338	0.01613098145
339	0.01607429238
340	0.01599002041
341	0.01593534163
342	0.01590589867
343	0.01587799565
344	0.01583281404
345	0.01577707338
346	0.01566546689
347	0.01560063771
348	0.01552571627
349	0.01545018832
350	0.01541713656
351	0.01536819581
352	0.015328041
353	0.01524382849
354	0.01520241777
355	0.01520198206
356	0.01514699836
357	0.01504201918
358	0.01498983547
359	0.01488584171
360	0.01484260725
361	0.01480889645
362	0.01476944091
363	0.01469578555
364	0.01464453338
365	0.01458242462
366	0.01452932143
367	0.01447477511
368	0.01442479126
369	0.01438151052
370	0.01433103106
371	0.01428591093
372	0.0141973738
373	0.01414756433
374	0.0140590708
375	0.01400503339
376	0.01397354649
377	0.01392763711
378	0.01389630513
379	0.01387464078
380	0.01380229969
381	0.01374560346
382	0.01370970185
383	0.01364797155
384	0.01359546693
385	0.01355325522
386	0.01350325919
387	0.01343228165
388	0.01340140326
389	0.01334723295
390	0.01330985153
391	0.01324532974
392	0.0132007894
393	0.013169406
394	0.01312982136
395	0.01305941422
396	0.0130196978
397	0.01298757109
398	0.0129629914
399	0.01292256408
400	0.01289320551
401	0.01282978304
402	0.01274877437
403	0.01270776716
404	0.01263131114
405	0.01263131315
406	0.01257264106
407	0.01251465079
408	0.01249626361
409	0.01242613133
410	0.01238030802
411	0.01231353919
412	0.01225604231
413	0.01221842616
414	0.01218156864
415	0.01213748937
416	0.01208283976
417	0.0120462106
418	0.01200020285
419	0.01200010617
420	0.01196262046
421	0.01194836162
422	0.01189806469
423	0.01185493284
424	0.01182984546
425	0.01178310536
426	0.01175209026
427	0.01171170173
428	0.01168441303
429	0.01165274259
430	0.01160088985
431	0.01154349323
432	0.0115147757
433	0.01149242449
434	0.01145873783
435	0.0113948393
436	0.01135442953
437	0.01131937373
438	0.01128103786
439	0.01128104434
440	0.01123902689
441	0.01122408287
442	0.01121311941
443	0.01117088255
444	0.01113745946
445	0.01109682524
446	0.01106499497
447	0.01102395612
448	0.01098487671
449	0.01095511888
450	0.01089189637
451	0.01084373705
452	0.0108142866
453	0.01076528213
454	0.01072189677
455	0.01069583068
456	0.01067068752
457	0.01064296502
458	0.01061253396
459	0.01057216443
460	0.0105394728
461	0.01049884697
462	0.01045414421
463	0.01042731536
464	0.01036880288
465	0.01033006808
466	0.01029538684
467	0.01024693008
468	0.01021933097
469	0.01019095749
