iter	Passed	Remaining
475	2620	1706
476	2625	1700
477	2630	1694
478	2636	1689
479	2642	1684
480	2647	1678
481	2653	1673
482	2658	1667
483	2664	1662
484	2670	1657
485	2676	1652
486	2682	1646
487	2688	1641
488	2694	1636
489	2699	1630
490	2704	1625
491	2709	1619
492	2713	1612
493	2718	1606
494	2722	1600
495	2728	1595
496	2732	1588
497	2739	1584
498	2747	1580
499	2752	1574
500	2760	1570
501	2766	1565
502	2772	1559
503	2777	1553
504	2783	1548
505	2788	1543
506	2794	1537
507	2799	1532
508	2805	1526
509	2810	1520
510	2814	1514
511	2818	1508
512	2822	1501
513	2825	1495
514	2828	1488
515	2831	1481
516	2834	1474
517	2836	1467
518	2839	1460
519	2842	1454
520	2845	1447
521	2848	1440
522	2852	1434
523	2855	1427
524	2859	1421
525	2865	1416
526	2870	1410
527	2876	1405
528	2881	1400
529	2887	1394
530	2894	1390
531	2900	1384
532	2904	1378
533	2910	1373
534	2916	1368
535	2920	1361
536	2927	1357
537	2935	1353
538	2940	1347
539	2946	1342
540	2951	1336
541	2957	1331
542	2963	1326
543	2970	1321
544	2976	1316
545	2981	1310
546	2987	1305
547	2991	1299
548	2996	1293
549	3001	1288
550	3006	1282
551	3009	1275
552	3013	1269
553	3016	1263
554	3020	1257
555	3024	1251
556	3029	1245
557	3034	1240
558	3041	1235
559	3047	1229
560	3053	1224
561	3058	1219
562	3063	1213
563	3069	1208
564	3076	1203
565	3083	1198
566	3088	1193
567	3095	1188
568	3101	1182
569	3107	1177
570	3114	1172
571	3121	1167
572	3128	1163
573	3135	1158
574	3142	1153
575	3148	1147
576	3156	1143
577	3163	1138
578	3170	1133
579	3176	1128
580	3182	1122
581	3188	1117
582	3192	1111
583	3198	1106
584	3204	1100
585	3208	1095
586	3214	1089
587	3221	1084
588	3228	1079
589	3234	1074
590	3240	1069
591	3247	1064
592	3255	1059
593	3260	1054
594	3267	1048
595	3274	1043
596	3279	1038
597	3284	1032
598	3290	1027
599	3295	1021
600	3300	1016
601	3306	1010
602	3311	1005
603	3317	999
604	3322	994
605	3327	988
606	3334	983
607	3340	977
608	3347	972
609	3354	967
610	3360	962
611	3368	957
612	3375	952
613	3381	947
614	3387	941
615	3396	937
616	3403	932
617	3410	927
618	3415	921
619	3420	915
620	3426	910
621	3431	904
622	3436	899
623	3442	893
624	3448	888
625	3453	882
626	3459	877
627	3465	871
628	3470	866
629	3475	860
630	3480	855
631	3485	849
632	3492	844
633	3499	838
634	3505	833
635	3511	828
636	3519	823
637	3525	817
638	3531	812
639	3535	806
640	3541	801
641	3547	795
642	3552	789
643	3558	784
644	3565	779
645	3571	774
646	3578	768
647	3586	763
648	3593	758
649	3599	753
650	3605	747
651	3612	742
652	3618	737
653	3625	731
654	3630	726
655	3637	720
656	3643	715
657	3648	709
658	3655	704
659	3663	699
660	3670	694
661	3676	688
662	3682	683
663	3689	677
664	3695	672
665	3700	666
666	3706	661
667	3712	655
668	3718	650
669	3725	645
670	3732	639
671	3738	634
672	3744	628
673	3751	623
674	3757	617
675	3762	612
676	3769	606
677	3776	601
678	3782	596
679	3789	590
680	3795	585
681	3802	579
682	3810	574
683	3817	569
684	3824	563
685	3831	558
686	3836	552
687	3841	547
688	3846	541
689	3851	535
690	3858	530
691	3864	524
692	3870	519
693	3877	514
694	3885	508
695	3891	503
696	3898	497
697	3906	492
698	3915	487
699	3921	481
700	3925	475
701	3931	470
702	3937	464
703	3944	459
704	3949	453
705	3955	448
706	3962	442
707	3969	437
708	3974	431
709	3979	425
710	3984	420
711	3990	414
712	3996	409
713	4000	403
714	4007	397
715	4013	392
716	4020	386
717	4024	381
718	4030	375
719	4036	370
720	4042	364
721	4048	358
722	4054	353
723	4059	347
724	4064	342
725	4070	336
726	4077	330
727	4083	325
728	4090	319
729	4097	314
730	4105	308
731	4114	303
732	4123	298
733	4130	292
734	4138	287
735	4144	281
736	4151	276
737	4160	270
738	4168	265
739	4176	259
740	4182	253
741	4185	248
742	4191	242
743	4198	236
744	4202	231
745	4208	225
746	4214	220
747	4220	214
748	4227	208
749	4233	203
750	4243	197
751	4251	192
752	4258	186
753	4264	181
754	4270	175
755	4277	169
756	4282	164
757	4287	158
758	4291	152
759	4296	146
760	4301	141
761	4306	135
762	4313	130
763	4319	124
764	4326	118
765	4332	113
766	4340	107
767	4347	101
768	4354	96
769	4362	90
770	4370	85
771	4377	79
772	4383	73
773	4388	68
774	4392	62
775	4396	56
776	4400	50
777	4403	45
778	4408	39
779	4411	33
780	4416	28
781	4421	22
782	4426	16
783	4431	11
784	4436	5
785	4440	0
